MARCA           | MODELO          | PRECIO       | ALMACEN.     | RAM     
-----------------------------------------------------------------------------
Apple           | iPhone 15 Pro   | $4800000.00  | 128  GB    | 8  GB
Apple           | iPhone 14       | $3500000.00  | 128  GB    | 6  GB
Apple           | iPhone 13       | $2900000.00  | 128  GB    | 4  GB
Samsung         | S24 Ultra       | $5200000.00  | 256  GB    | 12 GB
Samsung         | S23 FE          | $2200000.00  | 128  GB    | 8  GB
Samsung         | A55             | $1600000.00  | 256  GB    | 8  GB
Samsung         | A35             | $1200000.00  | 128  GB    | 6  GB
Xiaomi          | 14              | $3800000.00  | 512  GB    | 12 GB
Xiaomi          | Redmi Note 13 Pro | $1700000.00  | 256  GB    | 8  GB
Xiaomi          | Redmi Note 13   | $1100000.00  | 256  GB    | 8  GB
Xiaomi          | Poco X6 Pro     | $1800000.00  | 512  GB    | 12 GB
Motorola        | Edge 40 Neo     | $1500000.00  | 256  GB    | 8  GB
Motorola        | Moto G84        | $950000.00   | 256  GB    | 12 GB
Motorola        | Moto G54        | $750000.00   | 128  GB    | 8  GB
Motorola        | Razr 40         | $2800000.00  | 256  GB    | 8  GB
Google          | Pixel 8         | $3200000.00  | 128  GB    | 8  GB
Huawei          | Nova 11         | $1900000.00  | 256  GB    | 8  GB
Tecno           | Camon 30 Pro    | $1400000.00  | 256  GB    | 12 GB
Infinix         | Note 40 Pro     | $1300000.00  | 256  GB    | 8  GB
Honor           | Magic 6 Lite    | $1500000.00  | 256  GB    | 8  GB
Samsung         | Serie A-1       | $620000.00   | 128  GB    | 4  GB
Samsung         | Serie A-2       | $640000.00   | 128  GB    | 4  GB
Samsung         | Serie A-3       | $660000.00   | 128  GB    | 4  GB
Samsung         | Serie A-4       | $680000.00   | 128  GB    | 4  GB
Samsung         | Serie A-5       | $700000.00   | 128  GB    | 4  GB
Samsung         | Serie A-6       | $720000.00   | 128  GB    | 4  GB
Samsung         | Serie A-7       | $740000.00   | 128  GB    | 4  GB
Samsung         | Serie A-8       | $760000.00   | 128  GB    | 4  GB
Samsung         | Serie A-9       | $780000.00   | 128  GB    | 4  GB
Samsung         | Serie A-10      | $800000.00   | 128  GB    | 4  GB
Samsung         | Serie A-11      | $820000.00   | 128  GB    | 4  GB
Samsung         | Serie A-12      | $840000.00   | 128  GB    | 4  GB
Samsung         | Serie A-13      | $860000.00   | 128  GB    | 4  GB
Samsung         | Serie A-14      | $880000.00   | 128  GB    | 4  GB
Samsung         | Serie A-15      | $900000.00   | 128  GB    | 4  GB
Samsung         | Serie A-16      | $920000.00   | 128  GB    | 4  GB
Samsung         | Serie A-17      | $940000.00   | 128  GB    | 4  GB
Samsung         | Serie A-18      | $960000.00   | 128  GB    | 4  GB
Samsung         | Serie A-19      | $980000.00   | 128  GB    | 4  GB
Samsung         | Serie A-20      | $1000000.00  | 128  GB    | 4  GB
Samsung         | Serie A-21      | $1020000.00  | 128  GB    | 4  GB
Samsung         | Serie A-22      | $1040000.00  | 128  GB    | 4  GB
Samsung         | Serie A-23      | $1060000.00  | 128  GB    | 4  GB
Samsung         | Serie A-24      | $1080000.00  | 128  GB    | 4  GB
Samsung         | Serie A-25      | $1100000.00  | 128  GB    | 4  GB
Samsung         | Serie A-26      | $1120000.00  | 128  GB    | 4  GB
Samsung         | Serie A-27      | $1140000.00  | 128  GB    | 4  GB
Samsung         | Serie A-28      | $1160000.00  | 128  GB    | 4  GB
Samsung         | Serie A-29      | $1180000.00  | 128  GB    | 4  GB
tecno           | camon 30        | $1000000.00  | 256  GB    | 10 GB
1               | 1               | $3.00        | 3    GB    | 3  GB
xiaomi          | redmi note      | $1000000.00  | 256  GB    | 14 GB
xiaomi          | redmi note 11   | $850000.00   | 256  GB    | 12 GB
infinix         | note 50 s       | $12000000.00 | 256  GB    | 14 GB
infinix         | note 40 s       | $1000000.00  | 256  GB    | 12 GB
4               | 2               | $2.00        | 2    GB    | 2  GB
